Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Samadhi,1-Jan-50,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.75 Cr
Babul,1-Jan-50,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.70 Cr
Awaara,1-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Albela,1-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.90 Cr
Baazi,1-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Deedar,1-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.80 Cr
Jadoo,1-Jan-51,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.75 Cr
Aan,1-Jan-52,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Baiju Bawra,1-Jan-52,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Daag,1-Jan-52,0 Cr N.A,0 Cr N.A,0 Cr N.A,0.80 Cr
Jaal,1-Jan-52,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Anarkali,1-Jan-53,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Nagin,1-Jan-54,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.5 Cr
Nastik,1-Jan-54,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Taxi Driver,1-Jan-54,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
Uran Khatola,1-Jan-55,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.10 Cr
Shree 420,1-Jan-55,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Jhanak Jhanak Payal Baje,1-Jan-55,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Azaad,1-Jan-55,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Ek Hi Rasta,1-Jan-56,0 Cr N.A,0 Cr N.A,0 Cr N.A,1 Cr
C. I. D.,1-Jan-56,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Mother India,14-Feb-57,0 Cr N.A,0 Cr N.A,0 Cr N.A,4 Cr
Do Aankhen Barah Haath,1-Jan-57,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Naya Daur,1-Jan-57,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.25 Cr
Pyaasa,1-Jan-57,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Chalti Ka Naam Gaadi,1-Jan-58,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Madhumati,1-Jan-58,0 Cr N.A,0 Cr N.A,0 Cr N.A,2 Cr
Navrang,1-Jan-59,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Anari,1-Jan-59,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Paigham,1-Jan-59,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.40 Cr
Mughal-E-Azam,5-Aug-60,0 Cr N.A,0 Cr N.A,0 Cr N.A,5.50 Cr
Chaudhvin Ka Chand,1-Jan-60,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.25 Cr
Dil Apna Aur Preet Parai,1-Jan-60,0 Cr N.A,0 Cr N.A,0.15 Cr,0.02 Cr
Kohinoor,1-Jan-60,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.50 Cr
Barsaat Ki Raat,1-Jan-60,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
Junglee,1-Jan-61,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.75 Cr
